reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,day_diff,helpful_yes,total_vote
A29TSPI4U7YV9M,B007WTAJTO,Amazon Customer,"[0, 0]","Simply put the card works well in my NOTE 3, gives me the extra space needed and to date has worked flawlessly. I upgraded from a 64GB Sandisk to the 128GB with no issues. Plenty of space available now in my phone and I can keep movies and music local. Some people have scoffed online about using such a large card but the reality of it is that you don't always have data service and when that time comes, such as when you're on a plane, its nice to have access to some movies and music that you've kept on local storage.So far its worked in my NOTE 3 and SG4.",5,just the thing I needed for my NOTE 3,1398729600,2014-04-29,223,0,0
A2S116Z6L8MP1X,B007WTAJTO,Amazon Customer,"[0, 0]","So I'm not going to pretend to be an expert on sd cards, but I still like this one. It is relatively inexpensive, works wonderfully for the movies I want to store and watch on my samsung galaxy tab 7 2.0, and I haven't had a single problem with storage yet.",5,All of the space!,1376265600,2013-12-08,365,0,0
A26MKYA0OFD9XI,B007WTAJTO,Amazon Customer,"[0, 0]",The card arrived promptly and has worked flawlessly in a dashcam. Would recommend purchase to others if they need this kind of card.,5,Good card,1388966400,2014-06-01,190,0,0
A2OWNOFM76M3VV,B007WTAJTO,Amazon Customer,"[0, 0]","The card looks good, works fine, I didn't do too much test with it.My only complaint until now is the package, there's a line marked on the back for you to cut, I cut along the line, and nothing happened, no opening at all, all cardboard glued tightly. so I cut near the card, only to found I cut the supposed plastic card case/storage shell, now I took it out, and no storage case to store. Not a functional problem, but annoying.",4,"Looks good, the package is horrible though",1355270400,2012-12-12,726,0,0
A3R2TY7PFN9VSM,B007WTAJTO,Amazon Customer,"[0, 0]","The package arrived on time, it's very well packed and it's got an adapter. It works perfectly with my phone, though it doesn't allow a computer format, once it's been on the phone, so it asks you to erase everything before you use it on a computer. So if you're planning on buying this for different purposes and devices, gotta be aware of this. I just need for my phone, so I transfer files with my usb cable, that works just right. I also give it a 3 star because it says there are 64gb, but even when it's totally formatted it only reaches to 60gb..sooo, I don't know where my other 4 gb are...anyways, overall it's working well. I do think it's expensive for what it is.",3,Almost,1375660800,2013-05-08,579,0,0
AS8984CRFM1OS,B007WTAJTO,Amazon Customer,"[0, 0]",There really isn't much to say about a micro SD card: it either works or it doesn't. I bought this to install in my phone and it seems to be working fine. The fit was perfect and the performance is totally satisfactory. I've never had any trouble with SanDisk products and this will likely be no exception. It was a great value compared to places I had priced locally.,5,What's there to say about an SD card?,1353974400,2012-11-27,741,0,0
A1TGQIP9QXYFUZ,B007WTAJTO,Amazon Customer,"[0, 0]",The SanDisk Ultra 16GB memory card has shown no sign of not being exactly what I needed.  A good deal.,4,Good value,1395878400,2014-03-27,256,0,0
A2Z2ANFDUJBB9R,B007WTAJTO,Amazon Customer,"[0, 0]",This card has worked flawlessly in my phone for about three months! I had an smaller and slower card in it that this replaced. When doing pictures and video you can definitely tell the difference in write speed between a class ten and four.,5,works fast and great,1388534400,2014-01-01,341,0,0
A3DH4XZEZHQRRE,B007WTAJTO,Amazon Customer,"[0, 0]",This chip is holding all my music and photos so they are ready to share with friends and family on my tablet. Quick response and no drop outs or lags.  Price was amazing!!,5,It's from SanDisk!,1390867200,2014-01-28,314,0,0
A290EDOBCFN9WY,B007WTAJTO,Amazon Customer,"[0, 0]","This is a great SD card, it's very fast and works well.  I have been using it for my GoPro with no complaints.",5,Good SD card,1372291200,2013-06-27,529,0,0
A1W8SS7X5XJAYT,B007WTAJTO,Amazon Customer,"[0, 0]","This is the best accessory that you can buy for your smartphone! Simple explanation:1) I loaded all my HD movies onto this micro SD card, inserted it into my Samsung Galaxy S3, and it plays them superbly without ANY delays, as it it up to 30mb/s read speed!2) The most important reason for this being the best accessory for your phone is to think about this: The premium you pay for an iPhone 64GB is $200. The price you pay for this 64GB micro SD card is $50 (depends on Amazon's pricing at the time). That means you get the same thing for $150 less, AND you can interchange your SD card between devices (if you buy a new tablet for example).No brainer.Note that it reads only at 10mb/s, so a 7GB HD movie will take about 10 - 15 minutes to load up.",5,Brilliant! Price beats iPhone's $200 price for 64GB phone by $150!,1358035200,2013-01-13,694,0,0
A28ZC6QIVN5DPR,B007WTAJTO,Amazon Customer,"[0, 0]",Worked fine in my Samsung S4 for one year.  Then it stopped allowing writing to the card.  Would not format even on a PC or with another device.  The data is still there but cannot be erased.,1,Stopped working after 1 year,1404259200,2014-02-07,304,0,0
A242GRU73R7VVV,B007WTAJTO,Amazon Customer,"[0, 2]","My card got so hot it almost melted. Crazy! But you card somewhere else, I know I Wii! I'm not taking the chance of ruining one of my devices. No thanks",1,stay away,1361750400,2013-02-25,651,0,2
A308JP3BK4VAL7,B007WTAJTO,Amazon Customer,"[0, 3]","Thus microSD card worked fine for a year in my Samsumg Note II. I mostly used it to listed to downloaded music from Spotify. It has actually failed &#34;twice&#34;. When it failed the first time (the phone couldn't &#34;see&#34; that I had a card installed) I thought maybe something had merely corrupted it, so I formatted it, put it back in my phone, and re-downloaded all my playlists. It worked for two months and then failed again. I don't plan to try formatting it again, I'll switch to a different brand of card.",2,Inadequate life span - lasted 1 year then failed,1398643200,2014-04-28,224,0,3
